block_id	Bm_gene	Bm_chrf	Bm_statrtsite	Bm_length	Bm_sign	Pr_gene	Pr_chrf	Pr_statrtsite	Pr_length	Pr_sign
0	KWMTBOMO00544	1	16089960	11851	1	SWUPr00150580	14	7634311	9855	1
0	KWMTBOMO00545	1	16116700	10802	1	SWUPr00150590	14	7658699	6572	1
0	KWMTBOMO00585	1	17429182	1479	-1	SWUPr00150870	14	8836022	1689	-1
0	KWMTBOMO00621	1	19389948	17376	-1	SWUPr00151180	14	10233901	25887	1
0	KWMTBOMO00640	1	19793115	28927	1	SWUPr00151310	14	10629946	26806	1
0	KWMTBOMO00644	1	20004425	19851	1	SWUPr00151340	14	10803739	16443	1
0	KWMTBOMO00646	1	20026865	5880	1	SWUPr00151360	14	10827952	3309	1
0	KWMTBOMO00651	1	20087084	22680	-1	SWUPr00152410	14	14536817	101318	-1
0	KWMTBOMO00655	1	20335893	5059	-1	SWUPr00152460	14	14747768	4361	-1
0	KWMTBOMO00656	1	20346913	1646	-1	SWUPr00152470	14	14756954	711	-1
0	KWMTBOMO00657	1	20347134	2185	1	SWUPr00152480	14	14757369	1830	1
0	KWMTBOMO00670	2	49036	5204	1	SWUPr00001760	1	6200315	2336	1
7	KWMTBOMO00683	2	427555	4499	-1	SWUPr00001820	1	6290259	13623	-1
7	KWMTBOMO00686	2	519875	9162	-1	SWUPr00001870	1	6393595	3053	-1
0	KWMTBOMO00688	2	552215	15778	-1	SWUPr00001930	1	6663199	6976	-1
0	KWMTBOMO00689	2	552696	4071	1	SWUPr00001950	1	6675966	4195	1
0	KWMTBOMO00694	2	594205	12718	-1	SWUPr00002000	1	6748169	6772	-1
0	KWMTBOMO00695	2	595146	47983	1	SWUPr00002030	1	6796072	5084	1
7	KWMTBOMO00698	2	707926	11125	1	SWUPr00002050	1	6864847	57652	1
7	KWMTBOMO00703	2	802455	5060	-1	SWUPr00002080	1	7070141	2737	-1
7	KWMTBOMO00704	2	824355	13584	1	SWUPr00002090	1	7120037	12279	1
7	KWMTBOMO00706	2	851054	1940	-1	SWUPr00002100	1	7145853	12030	-1
7	KWMTBOMO00708	2	889855	14236	1	SWUPr00002120	1	7174098	26514	1
8	KWMTBOMO00714	2	1130124	43487	-1	SWUPr00002240	1	7487906	39723	-1
8	KWMTBOMO00716	2	1202044	33262	-1	SWUPr00002260	1	7568972	17901	-1
8	KWMTBOMO00718	2	1310215	9748	-1	SWUPr00002280	1	7717780	19077	-1
8	KWMTBOMO00720	2	1408296	48176	1	SWUPr00002290	1	7849993	10835	1
8	KWMTBOMO00722	2	1501475	28901	-1	SWUPr00002310	1	7890015	12297	-1
8	KWMTBOMO00724	2	1570016	4824	1	SWUPr00002360	1	7995942	2821	1
0	KWMTBOMO00726	2	1579896	4702	1	SWUPr00002380	1	8013220	5275	1
0	KWMTBOMO00728	2	1632635	1497	-1	SWUPr00002400	1	8083896	932	-1
0	KWMTBOMO00729	2	1635776	10963	1	SWUPr00002420	1	8095981	9222	1
0	KWMTBOMO00735	2	1820666	3197	1	SWUPr00002520	1	8363009	4079	1
0	KWMTBOMO00750	2	2418446	3844	1	SWUPr00002650	1	8920240	3729	-1
0	KWMTBOMO00773	2	2712405	7353	-1	SWUPr00002710	1	9220644	16171	-1
9	KWMTBOMO00783	2	2905255	6594	1	SWUPr00000070	1	92521	6799	-1
9	KWMTBOMO00785	2	2948725	6527	1	SWUPr00000060	1	58472	11730	-1
9	KWMTBOMO00788	2	2999164	15318	-1	SWUPr00000110	1	138520	15256	-1
0	KWMTBOMO00792	2	3057575	2000	1	SWUPr00000160	1	198460	3366	1
0	KWMTBOMO00793	2	3074464	11131	-1	SWUPr00000190	1	226080	19002	-1
0	KWMTBOMO00795	2	3082265	39532	1	SWUPr00000210	1	236010	68169	1
0	KWMTBOMO00800	2	3162385	18239	1	SWUPr00000230	1	318770	20010	1
0	KWMTBOMO00801	2	3188594	2764	-1	SWUPr00000300	1	531536	6687	1
0	KWMTBOMO00802	2	3198135	7525	1	SWUPr00000290	1	516001	3959	-1
0	KWMTBOMO00820	2	3461947	13870	1	SWUPr00001630	1	5223564	30160	-1
0	KWMTBOMO00822	2	3573836	40578	-1	SWUPr00001610	1	5101700	35348	1
0	KWMTBOMO00824	2	3613987	4758	1	SWUPr00001600	1	5065177	2682	1
0	KWMTBOMO00829	2	3757710	27698	-1	SWUPr00000750	1	2385431	24995	-1
10	KWMTBOMO00837	2	4102521	3284	-1	SWUPr00000420	1	971865	23679	1
10	KWMTBOMO00838	2	4103662	3250	1	SWUPr00000410	1	971295	3823	-1
0	KWMTBOMO00839	2	4114161	3887	-1	SWUPr00000380	1	931114	8951	-1
10	KWMTBOMO00841	2	4184372	9713	1	SWUPr00000370	1	839871	15849	-1
10	KWMTBOMO00843	2	4223692	32013	1	SWUPr00000330	1	762119	34032	-1
10	KWMTBOMO00844	2	4287931	26820	-1	SWUPr00000320	1	674801	45056	1
10	KWMTBOMO00848	2	4347311	4849	-1	SWUPr00000310	1	576569	39925	1
0	KWMTBOMO00853	2	4462601	37061	-1	SWUPr00001640	1	5311176	33964	-1
0	KWMTBOMO00854	2	4465032	4808	1	SWUPr00001650	1	5318663	6469	1
0	KWMTBOMO00861	2	4809668	3499	-1	SWUPr00001670	1	5674545	6517	1
0	KWMTBOMO00867	2	5087043	983	1	SWUPr00000480	1	1422051	800	1
11	KWMTBOMO00868	2	5157552	1085	-1	SWUPr00000490	1	1487665	779	-1
11	KWMTBOMO00879	2	5444660	1694	-1	SWUPr00000620	1	1857140	4217	-1
11	KWMTBOMO00883	2	5578340	19421	-1	SWUPr00000660	1	2001553	22708	-1
0	KWMTBOMO00884	2	5578471	11123	1	SWUPr00000670	1	2004756	8718	1
0	KWMTBOMO00886	2	5644610	47238	-1	SWUPr00000690	1	2167095	137883	-1
0	KWMTBOMO00889	2	5751204	10661	-1	SWUPr00000710	1	2247764	49067	-1
0	KWMTBOMO00891	2	5819645	7943	1	SWUPr00001560	1	4969136	8169	-1
12	KWMTBOMO00899	2	5979335	2136	1	SWUPr00001500	1	4814950	3196	-1
12	KWMTBOMO00903	2	6108666	1416	-1	SWUPr00001440	1	4683568	2224	1
12	KWMTBOMO00904	2	6112087	1440	1	SWUPr00001430	1	4677116	596	-1
12	KWMTBOMO00911	2	6239157	1134	1	SWUPr00001390	1	4549683	4277	-1
12	KWMTBOMO00913	2	6265506	15238	-1	SWUPr00001380	1	4525033	12659	1
12	KWMTBOMO00915	2	6305487	15313	1	SWUPr00001360	1	4478031	17758	-1
12	KWMTBOMO00920	2	6356117	1274	1	SWUPr00001310	1	4410027	4512	-1
12	KWMTBOMO00922	2	6366737	38334	1	SWUPr00001290	1	4376259	13072	-1
12	KWMTBOMO00924	2	6430657	7424	1	SWUPr00001280	1	4344211	15384	-1
12	KWMTBOMO00925	2	6446536	1088	-1	SWUPr00001270	1	4322357	4780	1
0	KWMTBOMO00928	2	6489356	6053	-1	SWUPr00001260	1	4279443	6466	1
0	KWMTBOMO00930	2	6533547	4195	1	SWUPr00001250	1	4232300	4139	-1
0	KWMTBOMO00964	2	7561108	31571	-1	SWUPr00001090	1	3519223	18093	-1
0	KWMTBOMO00965	2	7577899	7135	1	SWUPr00001100	1	3552608	8439	1
0	KWMTBOMO00981	2	7853257	6577	-1	SWUPr00000790	1	2685182	11957	-1
0	KWMTBOMO00982	2	7878027	23034	-1	SWUPr00000800	1	2705329	14652	-1
0	KWMTBOMO00987	2	7945338	974	1	SWUPr00000830	1	2764627	851	1
0	KWMTBOMO00990	2	8099387	15485	-1	SWUPr00000850	1	2891920	15447	-1
0	KWMTBOMO00993	2	8121698	18231	1	SWUPr00000870	1	2931576	14440	-1
0	KWMTBOMO00994	2	8163121	14537	-1	SWUPr00000890	1	2976129	22036	-1
0	KWMTBOMO00995	2	8172891	7203	-1	SWUPr00000900	1	2996051	17703	-1
0	KWMTBOMO00997	2	8190342	8634	1	SWUPr00000910	1	2999352	12999	1
0	KWMTBOMO00999	2	8210181	2390	-1	SWUPr00000920	1	3015977	595	-1
0	KWMTBOMO01000	2	8210502	8188	1	SWUPr00000930	1	3019039	8849	1
12	KWMTBOMO01006	2	8301992	2336	1	SWUPr00001010	1	3170819	1244	1
0	KWMTBOMO01007	2	8314561	3718	-1	SWUPr00001030	1	3186824	9352	-1
0	KWMTBOMO01011	2	8358351	4827	-1	SWUPr00001050	1	3244306	8126	-1
0	KWMTBOMO01016	3	38656	17060	1	SWUPr00104860	9	14036414	30951	1
0	KWMTBOMO01018	3	76755	20269	-1	SWUPr00104870	9	14103923	33156	-1
0	KWMTBOMO01020	3	109415	6800	-1	SWUPr00104890	9	14123465	5328	-1
0	KWMTBOMO01021	3	116296	14001	1	SWUPr00104900	9	14125364	13942	1
0	KWMTBOMO01031	3	426306	7321	1	SWUPr00032260	3	24892237	2530	-1
13	KWMTBOMO01043	3	847546	1103	1	SWUPr00105420	9	15289327	998	-1
13	KWMTBOMO01045	3	1115056	2205	1	SWUPr00105390	9	15077999	2755	-1
0	KWMTBOMO01046	3	1119475	1538	-1	SWUPr00105380	9	15073002	1478	1
0	KWMTBOMO01047	3	1121456	5027	1	SWUPr00105360	9	15064268	7083	-1
13	KWMTBOMO01048	3	1129855	2288	-1	SWUPr00105340	9	15050004	5913	1
13	KWMTBOMO01050	3	1150936	7299	1	SWUPr00105300	9	15012248	7691	-1
13	KWMTBOMO01052	3	1271746	6644	1	SWUPr00105280	9	14920351	16457	-1
0	KWMTBOMO01053	3	1289505	5676	-1	SWUPr00105260	9	14888609	8750	1
0	KWMTBOMO01054	3	1291836	1571	1	SWUPr00105250	9	14887247	2232	-1
0	KWMTBOMO01055	3	1298225	1622	-1	SWUPr00105240	9	14882074	1186	1
0	KWMTBOMO01056	3	1298526	15180	1	SWUPr00105230	9	14880979	11301	-1
0	KWMTBOMO01057	3	1325665	5620	-1	SWUPr00105220	9	14860595	5489	1
0	KWMTBOMO01059	3	1350145	12427	-1	SWUPr00105210	9	14843257	7598	1
0	KWMTBOMO01062	3	1364715	1857	-1	SWUPr00105190	9	14832266	2306	1
13	KWMTBOMO01064	3	1480506	1934	1	SWUPr00105160	9	14717987	2572	-1
0	KWMTBOMO01070	3	1631226	3009	1	SWUPr00105110	9	14557988	2293	-1
0	KWMTBOMO01071	3	1640325	4662	-1	SWUPr00105100	9	14552275	2998	1
0	KWMTBOMO01072	3	1641006	8869	1	SWUPr00105090	9	14550854	12942	-1
0	KWMTBOMO01073	3	1657085	3369	-1	SWUPr00105080	9	14526611	6975	1
0	KWMTBOMO01074	3	1658126	4875	1	SWUPr00105070	9	14524839	3230	-1
0	KWMTBOMO01076	3	1670046	4216	1	SWUPr00105050	9	14515779	9814	-1
13	KWMTBOMO01078	3	1678996	15710	1	SWUPr00105030	9	14493831	20542	-1
13	KWMTBOMO01079	3	1698745	1118	-1	SWUPr00105020	9	14464343	1504	1
0	KWMTBOMO01112	3	2476022	2441	1	SWUPr00104630	9	13311431	2417	-1
14	KWMTBOMO01113	3	2486931	8254	-1	SWUPr00104620	9	13302104	6762	1
14	KWMTBOMO01115	3	2500372	15059	1	SWUPr00104610	9	13284567	16875	-1
14	KWMTBOMO01116	3	2518231	2288	-1	SWUPr00104600	9	13264132	2105	1
0	KWMTBOMO01118	3	2524662	18487	1	SWUPr00104580	9	13253613	9614	-1
14	KWMTBOMO01121	3	2563822	15638	1	SWUPr00104560	9	13228695	9281	-1
14	KWMTBOMO01123	3	2632042	18168	1	SWUPr00104540	9	13141865	16108	-1
0	KWMTBOMO01127	3	2857166	3271	-1	SWUPr00104500	9	12922293	12241	1
0	KWMTBOMO01129	3	2872917	4883	1	SWUPr00104490	9	12919573	3185	-1
0	KWMTBOMO01130	3	2881077	6370	1	SWUPr00104470	9	12905775	7581	-1
0	KWMTBOMO01131	3	2897786	7372	-1	SWUPr00104450	9	12888561	4139	1
0	KWMTBOMO01135	3	3115506	3297	-1	SWUPr00104390	9	12676321	3621	1
0	KWMTBOMO01136	3	3167671	7078	-1	SWUPr00104380	9	12639912	7770	1
15	KWMTBOMO01140	3	3229702	8398	1	SWUPr00104340	9	12580829	10749	-1
15	KWMTBOMO01143	3	3290681	22287	-1	SWUPr00104300	9	12510337	21589	1
15	KWMTBOMO01147	3	3352751	19720	-1	SWUPr00104280	9	12460155	18549	1
15	KWMTBOMO01153	3	3393222	1016	1	SWUPr00104240	9	12406087	824	-1
15	KWMTBOMO01156	3	3445392	9024	1	SWUPr00104190	9	12337530	12508	-1
0	KWMTBOMO01157	3	3457381	768	-1	SWUPr00104180	9	12322109	573	1
0	KWMTBOMO01158	3	3458822	5800	1	SWUPr00104170	9	12320878	5650	-1
15	KWMTBOMO01164	3	3691786	14004	1	SWUPr00104110	9	12149137	32219	-1
0	KWMTBOMO01170	3	3824525	4741	-1	SWUPr00104090	9	12003904	5570	1
0	KWMTBOMO01171	3	3825196	27496	1	SWUPr00104080	9	12002897	22906	-1
0	KWMTBOMO01172	3	3856885	773	-1	SWUPr00104070	9	11977029	425	1
0	KWMTBOMO01173	3	3858696	1952	1	SWUPr00104060	9	11971647	1541	-1
16	KWMTBOMO01219	3	5105795	41846	1	SWUPr00103690	9	10829491	50540	-1
16	KWMTBOMO01220	3	5244871	2288	1	SWUPr00103670	9	10684360	2062	-1
16	KWMTBOMO01221	3	5354791	3885	1	SWUPr00103660	9	10566580	3964	-1
16	KWMTBOMO01226	3	5542028	4410	1	SWUPr00103630	9	10363101	6973	-1
0	KWMTBOMO01227	3	5562807	15148	-1	SWUPr00103620	9	10318215	36294	1
0	KWMTBOMO01229	3	5645038	13179	1	SWUPr00103610	9	10252910	22660	-1
16	KWMTBOMO01232	3	5709588	17476	1	SWUPr00103580	9	10159929	25054	-1
0	KWMTBOMO01233	3	5731847	1124	-1	SWUPr00103560	9	10121485	1301	1
0	KWMTBOMO01234	3	5734098	1185	1	SWUPr00103550	9	10118666	815	-1
16	KWMTBOMO01236	3	5797678	33627	1	SWUPr00103440	9	10002327	27509	-1
16	KWMTBOMO01237	3	5835097	785	-1	SWUPr00103430	9	9971446	614	1
0	KWMTBOMO01252	3	6346451	34875	1	SWUPr00103350	9	9476027	30902	-1
17	KWMTBOMO01255	3	6741092	35955	1	SWUPr00102730	9	7767072	38436	1
17	KWMTBOMO01259	3	6949332	4707	1	SWUPr00102770	9	7943384	3812	1
17	KWMTBOMO01261	3	6968762	3429	1	SWUPr00102790	9	7963593	3213	1
17	KWMTBOMO01266	3	7129699	16988	1	SWUPr00102850	9	8137208	18971	1
17	KWMTBOMO01267	3	7150358	3256	-1	SWUPr00102860	9	8159148	2617	-1
0	KWMTBOMO01270	3	7201108	7537	-1	SWUPr00102930	9	8227948	7059	-1
0	KWMTBOMO01271	3	7205319	2237	1	SWUPr00102940	9	8231029	1209	1
0	KWMTBOMO01273	3	7216359	2821	1	SWUPr00102960	9	8237151	5227	1
0	KWMTBOMO01274	3	7234538	2809	-1	SWUPr00102980	9	8255865	3472	-1
0	KWMTBOMO01276	3	7248028	3828	-1	SWUPr00102990	9	8266868	8894	-1
0	KWMTBOMO01278	3	7290059	2297	1	SWUPr00103020	9	8300575	25024	1
17	KWMTBOMO01280	3	7300389	2873	1	SWUPr00103040	9	8330684	2120	1
17	KWMTBOMO01281	3	7314498	10939	-1	SWUPr00103050	9	8349592	16225	-1
0	KWMTBOMO01291	3	7446198	11983	-1	SWUPr00103130	9	8528010	27066	-1
0	KWMTBOMO01297	3	7608574	2017	-1	SWUPr00103180	9	8702012	2954	-1
0	KWMTBOMO01300	3	7621265	7710	1	SWUPr00103190	9	8704376	9957	1
0	KWMTBOMO01302	3	7680575	8505	1	SWUPr00103210	9	8781787	10416	1
0	KWMTBOMO01303	3	7692024	2082	-1	SWUPr00103220	9	8793586	1039	-1
17	KWMTBOMO01310	3	7904655	2308	1	SWUPr00103240	9	9007322	16728	1
0	KWMTBOMO01312	3	7915524	2028	-1	SWUPr00103250	9	9028057	3836	-1
0	KWMTBOMO01313	3	7918815	519	1	SWUPr00103260	9	9029654	433	1
0	KWMTBOMO01314	3	7921734	2392	-1	SWUPr00103270	9	9031687	1688	-1
17	KWMTBOMO01317	3	7941395	10587	1	SWUPr00103290	9	9045832	13957	1
17	KWMTBOMO01320	3	7983485	3925	1	SWUPr00103320	9	9095574	5175	1
0	KWMTBOMO01328	3	8033514	10514	-1	SWUPr00102710	9	7724354	25095	1
0	KWMTBOMO01329	3	8037315	3294	1	SWUPr00102700	9	7720847	5734	-1
0	KWMTBOMO01331	3	8074175	2866	1	SWUPr00102680	9	7694594	2585	-1
18	KWMTBOMO01334	3	8119575	1281	1	SWUPr00102650	9	7648352	992	-1
18	KWMTBOMO01336	3	8157525	54148	1	SWUPr00102640	9	7598672	33045	-1
18	KWMTBOMO01337	3	8214745	969	1	SWUPr00102620	9	7558760	788	-1
18	KWMTBOMO01344	3	8366897	2745	1	SWUPr00102560	9	7418449	4562	-1
18	KWMTBOMO01345	3	8374086	3780	-1	SWUPr00102550	9	7409518	2766	1
18	KWMTBOMO01347	3	8399987	4264	1	SWUPr00102530	9	7372771	3969	-1
18	KWMTBOMO01353	3	8476866	10538	-1	SWUPr00102490	9	7299945	16015	1
18	KWMTBOMO01354	3	8480397	6519	1	SWUPr00102480	9	7297438	3281	-1
0	KWMTBOMO01355	3	8496356	4951	-1	SWUPr00102470	9	7285648	6004	1
18	KWMTBOMO01356	3	8569276	965	-1	SWUPr00102450	9	7188924	779	1
18	KWMTBOMO01357	3	8904886	52785	-1	SWUPr00102440	9	6837327	51697	1
0	KWMTBOMO01361	3	9102066	1587	-1	SWUPr00102390	9	6579030	1382	1
0	KWMTBOMO01362	3	9104977	14110	1	SWUPr00102380	9	6577885	23334	-1
18	KWMTBOMO01363	3	9128856	1115	-1	SWUPr00102360	9	6526970	809	1
0	KWMTBOMO01367	3	9191270	9850	-1	SWUPr00102340	9	6477285	29887	1
0	KWMTBOMO01368	3	9197611	1155	1	SWUPr00102330	9	6473761	914	-1
0	KWMTBOMO01369	3	9205490	6127	-1	SWUPr00102320	9	6455507	16595	1
0	KWMTBOMO01370	3	9207221	4546	1	SWUPr00102300	9	6447029	4092	-1
0	KWMTBOMO01371	3	9214180	2376	-1	SWUPr00102290	9	6436773	4687	1
19	KWMTBOMO01375	3	9266551	29935	1	SWUPr00102280	9	6394524	33582	-1
19	KWMTBOMO01378	3	9322800	751	-1	SWUPr00102270	9	6328741	3070	1
19	KWMTBOMO01381	3	9340581	1654	1	SWUPr00102250	9	6308910	1151	-1
19	KWMTBOMO01382	3	9345370	1502	-1	SWUPr00102240	9	6304804	1322	1
0	KWMTBOMO01385	3	9413590	3925	-1	SWUPr00102190	9	6200260	11077	1
0	KWMTBOMO01386	3	9427000	4531	-1	SWUPr00102180	9	6188479	2480	1
0	KWMTBOMO01387	3	9433070	2218	-1	SWUPr00102170	9	6174931	1964	1
0	KWMTBOMO01389	3	9462641	33532	1	SWUPr00102160	9	6141412	38263	-1
19	KWMTBOMO01396	3	9856677	4174	1	SWUPr00102090	9	5731847	8955	-1
0	KWMTBOMO01397	3	9871666	3137	-1	SWUPr00102070	9	5700319	14492	1
0	KWMTBOMO01398	3	9872207	6871	1	SWUPr00102080	9	5709663	7140	-1
0	KWMTBOMO01400	3	9880537	24283	1	SWUPr00102060	9	5683206	3082	-1
0	KWMTBOMO01401	3	9913676	8098	-1	SWUPr00102040	9	5673871	2158	1
0	KWMTBOMO01402	3	9916467	4595	1	SWUPr00102030	9	5668550	1415	-1
0	KWMTBOMO01406	3	9971706	678	-1	SWUPr00101990	9	5615200	1776	1
0	KWMTBOMO01407	3	9973097	16339	1	SWUPr00101980	9	5611173	34342	-1
20	KWMTBOMO01409	3	10085280	780	-1	SWUPr00101960	9	5481991	473	1
20	KWMTBOMO01411	3	10161890	1861	-1	SWUPr00101950	9	5414151	564	1
20	KWMTBOMO01414	3	10257311	16164	1	SWUPr00101900	9	5089861	11236	1
20	KWMTBOMO01417	3	10414390	49349	1	SWUPr00101910	9	5282001	12317	1
0	KWMTBOMO01418	3	10485369	12620	-1	SWUPr00101920	9	5322019	27257	-1
0	KWMTBOMO01420	3	10500769	1863	-1	SWUPr00101000	9	2711313	2755	-1
0	KWMTBOMO01421	3	10504010	22787	1	SWUPr00101010	9	2714334	15894	1
0	KWMTBOMO01422	3	10576159	49043	-1	SWUPr00101020	9	2777209	46170	-1
0	KWMTBOMO01423	3	10602999	19240	-1	SWUPr00101040	9	2814673	20988	-1
0	KWMTBOMO01424	3	10617710	1136	1	SWUPr00101050	9	2815875	919	1
0	KWMTBOMO01425	3	10622949	3842	-1	SWUPr00101060	9	2820442	3267	-1
21	KWMTBOMO01430	3	10659990	6869	1	SWUPr00101100	9	2868113	9438	1
0	KWMTBOMO01431	3	10673069	2108	-1	SWUPr00101110	9	2884919	3967	-1
0	KWMTBOMO01432	3	10680510	10321	1	SWUPr00101120	9	2889171	6264	1
0	KWMTBOMO01433	3	10700239	8289	-1	SWUPr00101130	9	2899536	3264	-1
